"DateTime","AMZN Price Close","AMZN Volume","OHLC (open)","OHLC (high)","OHLC (low)","OHLC (close)"
"2005-01-03 00:00:00",2.226,209636000,2.2525,2.272,2.2105,2.226
"2005-01-04 00:00:00",2.107,390226600,2.1335,2.163,2.075,2.107
"2005-01-05 00:00:00",2.0885,167241200,2.0815,2.138,2.078,2.0885
"2005-01-06 00:00:00",2.0525,174092200,2.0905,2.1125,2.045,2.0525
"2005-01-07 00:00:00",2.116,197485400,2.0695,2.1345,2.058,2.116
"2005-01-10 00:00:00",2.092,147674000,2.097,2.148,2.0855,2.092
"2005-01-11 00:00:00",2.082,158863800,2.07,2.108,2.0505,2.082
"2005-01-12 00:00:00",2.115,162097200,2.0745,2.124,2.041,2.115
"2005-01-13 00:00:00",2.13,348128600,2.1225,2.229,2.117,2.13
"2005-01-14 00:00:00",2.2275,250727000,2.145,2.233,2.118,2.2275
"2005-01-18 00:00:00",2.229,143745800,2.2145,2.25,2.2075,2.229
"2005-01-19 00:00:00",2.198,148971000,2.222,2.237,2.1715,2.198
"2005-01-20 00:00:00",2.118,256636400,2.0855,2.134,2.082,2.118
"2005-01-21 00:00:00",2.058,212076800,2.098,2.1275,2.051,2.058
"2005-01-24 00:00:00",2.019,193964000,2.068,2.0975,2.0155,2.019
"2005-01-25 00:00:00",2.047,180605600,2.032,2.072,2.0225,2.047
"2005-01-26 00:00:00",2.067,154760600,2.059,2.09,2.013,2.067
"2005-01-27 00:00:00",2.1155,160880800,2.0635,2.12,2.057,2.1155
"2005-01-28 00:00:00",2.111,123046800,2.1045,2.15,2.0765,2.111
"2005-01-31 00:00:00",2.161,127222400,2.122,2.171,2.1215,2.161
"2005-02-01 00:00:00",2.124,135303200,2.15,2.1635,2.119,2.124
"2005-02-02 00:00:00",2.094,540201800,2.1485,2.1795,2.043,2.094
"2005-02-03 00:00:00",1.7875,1211144000,1.746,1.7945,1.7265,1.7875
"2005-02-04 00:00:00",1.786,346964000,1.7825,1.799,1.7595,1.786
"2005-02-07 00:00:00",1.7845,142329600,1.791,1.792,1.7775,1.7845
"2005-02-08 00:00:00",1.815,192087200,1.777,1.826,1.7765,1.815
"2005-02-09 00:00:00",1.7945,159217000,1.8225,1.84,1.7935,1.7945
"2005-02-10 00:00:00",1.789,160047400,1.8035,1.8055,1.7765,1.789
"2005-02-11 00:00:00",1.789,156949600,1.7785,1.7975,1.75,1.789
"2005-02-14 00:00:00",1.8015,139694200,1.79,1.8315,1.775,1.8015
"2005-02-15 00:00:00",1.807,110421800,1.8105,1.8225,1.7875,1.807
"2005-02-16 00:00:00",1.783,104608200,1.7965,1.8175,1.779,1.783
"2005-02-17 00:00:00",1.7845,106237600,1.787,1.7925,1.7625,1.7845
"2005-02-18 00:00:00",1.7655,95045400,1.7805,1.7875,1.755,1.7655
"2005-02-22 00:00:00",1.736,137393600,1.751,1.7695,1.7255,1.736
"2005-02-23 00:00:00",1.707,210007400,1.7475,1.7485,1.66,1.707
"2005-02-24 00:00:00",1.7345,167802400,1.683,1.7425,1.683,1.7345
"2005-02-25 00:00:00",1.7495,117683600,1.736,1.7615,1.724,1.7495
"2005-02-28 00:00:00",1.759,170759800,1.736,1.783,1.73325,1.759
"2005-03-01 00:00:00",1.7695,117661200,1.753,1.7705,1.741,1.7695
"2005-03-02 00:00:00",1.775,100160000,1.7695,1.7965,1.7535,1.775
"2005-03-03 00:00:00",1.7825,100649400,1.775,1.798,1.77,1.7825
"2005-03-04 00:00:00",1.7925,110558200,1.792,1.8155,1.785,1.7925
"2005-03-07 00:00:00",1.816,71961660,1.797,1.82,1.7905,1.816
"2005-03-08 00:00:00",1.7915,95857800,1.8155,1.821495,1.7875,1.7915
"2005-03-09 00:00:00",1.76995,147873800,1.787,1.825,1.745,1.76995
"2005-03-10 00:00:00",1.7455,117443600,1.7655,1.7855,1.7285,1.7455
"2005-03-11 00:00:00",1.7375,160205600,1.7405,1.7435,1.7025,1.7375
"2005-03-14 00:00:00",1.73,108673800,1.7335,1.7375,1.7,1.73
"2005-03-15 00:00:00",1.709,101453400,1.729,1.7425,1.695,1.709
"2005-03-16 00:00:00",1.6935,110562600,1.694,1.722,1.68,1.6935
"2005-03-17 00:00:00",1.6985,98181000,1.679,1.722,1.679,1.6985
"2005-03-18 00:00:00",1.708,105899200,1.7075,1.714,1.6825,1.708
"2005-03-21 00:00:00",1.6835,121715200,1.7105,1.7315,1.677,1.6835
"2005-03-22 00:00:00",1.6575,110552000,1.685,1.697,1.6535,1.6575
"2005-03-23 00:00:00",1.659,126743000,1.6545,1.692,1.641,1.659
"2005-03-24 00:00:00",1.644,106891000,1.67,1.694,1.6435,1.644
