"DateTime","AAPL Price Close","AAPL Volume","OHLC (open)","OHLC (high)","OHLC (low)","OHLC (close)"
"2005-01-03 00:00:00",1.130178,693416080,1.156785,1.162678,1.117857,1.130178
"2005-01-04 00:00:00",1.141785,1098061440,1.139285,1.169107,1.124464,1.141785
"2005-01-05 00:00:00",1.151785,680840720,1.151071,1.165178,1.14375,1.151785
"2005-01-06 00:00:00",1.152678,705877760,1.155089,1.159107,1.130892,1.152678
"2005-01-07 00:00:00",1.236607,2235731120,1.160714,1.243392,1.15625,1.236607
"2005-01-10 00:00:00",1.231428,1737035440,1.246964,1.2625,1.212142,1.231428
"2005-01-11 00:00:00",1.152857,2616148080,1.218928,1.234821,1.145357,1.152857
"2005-01-12 00:00:00",1.168928,2029983200,1.165892,1.176785,1.130357,1.168928
"2005-01-13 00:00:00",1.246428,3169653200,1.31625,1.328928,1.245178,1.246428
"2005-01-14 00:00:00",1.253571,1771389200,1.253571,1.280714,1.235535,1.253571
"2005-01-18 00:00:00",1.261607,1007636560,1.247321,1.2625,1.235892,1.261607
"2005-01-19 00:00:00",1.247857,757206800,1.25875,1.276071,1.245535,1.247857
"2005-01-20 00:00:00",1.258214,915552400,1.24375,1.272678,1.240535,1.258214
"2005-01-21 00:00:00",1.25875,912168320,1.273392,1.278571,1.25,1.25875
"2005-01-24 00:00:00",1.263571,843699360,1.2675,1.281785,1.259821,1.263571
"2005-01-25 00:00:00",1.286607,970315360,1.274464,1.300714,1.266785,1.286607
"2005-01-26 00:00:00",1.290178,744438800,1.297857,1.299107,1.271785,1.290178
"2005-01-27 00:00:00",1.297142,496756960,1.288571,1.302142,1.277678,1.297142
"2005-01-28 00:00:00",1.321071,802174800,1.296785,1.321071,1.293571,1.321071
"2005-01-31 00:00:00",1.373214,1684034240,1.335535,1.390892,1.330535,1.373214
"2005-02-01 00:00:00",1.384464,678811840,1.376785,1.38875,1.3675,1.384464
"2005-02-02 00:00:00",1.421964,1024200240,1.391964,1.426964,1.387321,1.421964
"2005-02-03 00:00:00",1.389464,732633440,1.415714,1.418392,1.380892,1.389464
"2005-02-04 00:00:00",1.407857,563568320,1.390535,1.409464,1.384464,1.407857
"2005-02-07 00:00:00",1.409642,525025760,1.410892,1.416964,1.383928,1.409642
"2005-02-08 00:00:00",1.444642,890181040,1.411964,1.453214,1.406964,1.444642
"2005-02-09 00:00:00",1.406071,1193544800,1.447142,1.464107,1.394642,1.406071
"2005-02-10 00:00:00",1.399285,1093084160,1.408214,1.415714,1.368928,1.399285
"2005-02-11 00:00:00",1.450178,1201575760,1.425178,1.46,1.409642,1.450178
"2005-02-14 00:00:00",1.51125,1271843440,1.477678,1.514107,1.465178,1.51125
"2005-02-15 00:00:00",1.57875,2322934880,1.546428,1.590714,1.535714,1.57875
"2005-02-16 00:00:00",1.609464,1640209200,1.574464,1.610714,1.559821,1.609464
"2005-02-17 00:00:00",1.568035,1518324640,1.61875,1.622857,1.561607,1.568035
"2005-02-18 00:00:00",1.550178,1163252160,1.568928,1.568928,1.540178,1.550178
"2005-02-22 00:00:00",1.523035,1219288560,1.541964,1.576785,1.523035,1.523035
"2005-02-23 00:00:00",1.575535,1344767200,1.548571,1.579464,1.527678,1.575535
"2005-02-24 00:00:00",1.588035,1525252960,1.58,1.594821,1.566607,1.588035
"2005-02-25 00:00:00",1.589107,915598880,1.600357,1.605535,1.574821,1.589107
"2005-02-28 00:00:00",1.602142,652834560,1.595714,1.612142,1.57,1.602142
"2005-03-01 00:00:00",1.589285,469428120,1.606785,1.611071,1.577142,1.589285
"2005-03-02 00:00:00",1.57575,458118360,1.578928,1.603214,1.574285,1.57575
"2005-03-03 00:00:00",1.4925,1411647160,1.584642,1.586071,1.472142,1.4925
"2005-03-04 00:00:00",1.528928,755548080,1.526071,1.536071,1.494642,1.528928
"2005-03-07 00:00:00",1.526785,450649080,1.529642,1.544642,1.5125,1.526785
"2005-03-08 00:00:00",1.4475,1021328840,1.494285,1.505714,1.432142,1.4475
"2005-03-09 00:00:00",1.405357,1321752880,1.415714,1.438571,1.386785,1.405357
"2005-03-10 00:00:00",1.4225,776853840,1.411785,1.437857,1.396428,1.4225
"2005-03-11 00:00:00",1.438214,628805520,1.437857,1.449642,1.421428,1.438214
"2005-03-14 00:00:00",1.44,605314360,1.452142,1.456785,1.411428,1.44
"2005-03-15 00:00:00",1.462857,511200760,1.451785,1.469285,1.4375,1.462857
"2005-03-16 00:00:00",1.470714,698101600,1.467142,1.511071,1.456428,1.470714
"2005-03-17 00:00:00",1.508928,802716600,1.485,1.531428,1.475714,1.508928
"2005-03-18 00:00:00",1.534285,976845520,1.547142,1.551428,1.517857,1.534285
"2005-03-21 00:00:00",1.560714,541264640,1.548571,1.570357,1.530714,1.560714
"2005-03-22 00:00:00",1.529642,551832400,1.559642,1.57,1.524285,1.529642
"2005-03-23 00:00:00",1.519642,610701560,1.518928,1.55,1.500714,1.519642
"2005-03-24 00:00:00",1.517857,353263960,1.5325,1.535714,1.517857,1.517857
"2005-03-28 00:00:00",1.518928,277684960,1.526785,1.534285,1.516785,1.518928
"2005-03-29 00:00:00",1.491071,463114680,1.519285,1.529642,1.482142,1.491071
"2005-03-30 00:00:00",1.528571,395777480,1.5025,1.528571,1.493607,1.528571
"2005-03-31 00:00:00",1.488214,636985440,1.512142,1.518571,1.485357,1.488214
"2005-04-01 00:00:00",1.460357,642646480,1.503214,1.506428,1.448928,1.460357
"2005-04-04 00:00:00",1.4675,580249880,1.461071,1.475357,1.434285,1.4675
"2005-04-05 00:00:00",1.496071,558594120,1.472142,1.508571,1.4675,1.496071
"2005-04-06 00:00:00",1.511785,415733080,1.510714,1.528928,1.505357,1.511785
"2005-04-07 00:00:00",1.555714,507958080,1.514285,1.5625,1.508928,1.555714
"2005-04-08 00:00:00",1.562142,650474160,1.560714,1.5875,1.555,1.562142
"2005-04-11 00:00:00",1.497142,824108880,1.576785,1.580357,1.496785,1.497142
"2005-04-12 00:00:00",1.523571,983369800,1.515714,1.5425,1.500357,1.523571
"2005-04-13 00:00:00",1.465714,1427053880,1.5325,1.535357,1.4425,1.465714
"2005-04-14 00:00:00",1.330714,2759078000,1.387857,1.427857,1.315714,1.330714
"2005-04-15 00:00:00",1.2625,1730350160,1.310714,1.330357,1.26,1.2625
"2005-04-18 00:00:00",1.272142,1327625320,1.25,1.296428,1.214285,1.272142
"2005-04-19 00:00:00",1.324642,1087322040,1.303928,1.337142,1.281071,1.324642
"2005-04-20 00:00:00",1.268214,956169480,1.346428,1.347857,1.265714,1.268214
"2005-04-21 00:00:00",1.327857,763965160,1.292857,1.328928,1.282142,1.327857
"2005-04-22 00:00:00",1.267857,839788320,1.315714,1.321428,1.246428,1.267857
"2005-04-25 00:00:00",1.320714,747662440,1.302142,1.322142,1.289642,1.320714
"2005-04-26 00:00:00",1.2925,814120160,1.313928,1.339642,1.29,1.2925
"2005-04-27 00:00:00",1.283928,614600840,1.279285,1.298571,1.268214,1.283928
"2005-04-28 00:00:00",1.269285,577276000,1.297857,1.297857,1.258571,1.269285
"2005-04-29 00:00:00",1.287857,672289240,1.291071,1.293928,1.257857,1.287857
"2005-05-02 00:00:00",1.301071,466234160,1.295,1.308928,1.286428,1.301071
"2005-05-03 00:00:00",1.293214,497094080,1.3,1.312142,1.286785,1.293214
"2005-05-04 00:00:00",1.326785,459201960,1.289642,1.328571,1.289285,1.326785
"2005-05-05 00:00:00",1.31,387884560,1.330357,1.331071,1.3025,1.31
"2005-05-06 00:00:00",1.33,326584440,1.3175,1.333214,1.313928,1.33
"2005-05-09 00:00:00",1.320357,355669440,1.331428,1.3375,1.3125,1.320357
"2005-05-10 00:00:00",1.300714,448845600,1.3125,1.330357,1.2975,1.300714
"2005-05-11 00:00:00",1.271785,2051582400,1.257142,1.273928,1.1825,1.271785
"2005-05-12 00:00:00",1.218928,971161240,1.267857,1.271071,1.214285,1.218928
"2005-05-13 00:00:00",1.241785,705327840,1.221071,1.258214,1.216785,1.241785
"2005-05-16 00:00:00",1.269642,477515360,1.237857,1.275357,1.233214,1.269642
"2005-05-17 00:00:00",1.262857,590217320,1.257142,1.266428,1.233571,1.262857
