"DateTime","GOOGL Price Close","GOOGL Volume","OHLC (open)","OHLC (high)","OHLC (low)","OHLC (close)"
"2005-01-03 00:00:00",5.06775,634427600,4.935,5.091,4.8865,5.06775
"2005-01-04 00:00:00",4.8625,550495600,5.03325,5.07325,4.837,4.8625
"2005-01-05 00:00:00",4.83775,329582000,4.83625,4.9225,4.80575,4.83775
"2005-01-06 00:00:00",4.71375,415592000,4.88125,4.8975,4.693,4.71375
"2005-01-07 00:00:00",4.84625,386647200,4.766,4.85625,4.7195,4.84625
"2005-01-10 00:00:00",4.8765,302192000,4.8625,4.9525,4.79575,4.8765
"2005-01-11 00:00:00",4.8385,278501600,4.8845,4.94275,4.8295,4.8385
"2005-01-12 00:00:00",4.8845,334452000,4.85825,4.89825,4.7625,4.8845
"2005-01-13 00:00:00",4.88325,274102800,4.8845,4.93475,4.85125,4.88325
"2005-01-14 00:00:00",4.99925,385750000,4.9,5.00025,4.85325,4.99925
"2005-01-18 00:00:00",5.0975,529485200,5.02225,5.1255,4.9665,5.0975
"2005-01-19 00:00:00",4.9325,454063200,5.116,5.1325,4.91775,4.9325
"2005-01-20 00:00:00",4.848,360151200,4.8125,4.90625,4.8,4.848
"2005-01-21 00:00:00",4.707,371787200,4.8635,4.884,4.703,4.707
"2005-01-24 00:00:00",4.518,561369200,4.71725,4.73325,4.508,4.518
"2005-01-25 00:00:00",4.428,427840400,4.555,4.556,4.40725,4.428
"2005-01-26 00:00:00",4.731,493837200,4.48175,4.73525,4.47875,4.731
"2005-01-27 00:00:00",4.702,265248800,4.71475,4.7215,4.63,4.702
"2005-01-28 00:00:00",4.7585,488509200,4.7505,4.8675,4.6585,4.7585
"2005-01-31 00:00:00",4.8905,384022440,4.84675,4.909,4.793,4.8905
"2005-02-01 00:00:00",4.7975,766158760,4.8595,5.09375,4.76575,4.7975
"2005-02-02 00:00:00",5.149,1314970440,5.391,5.42,5.0915,5.149
"2005-02-03 00:00:00",5.2715,520235400,5.1465,5.33425,5.14525,5.2715
"2005-02-04 00:00:00",5.109,592925360,5.16175,5.19375,5.065,5.109
"2005-02-07 00:00:00",4.90075,519267920,5.1315,5.16,4.88775,4.90075
"2005-02-08 00:00:00",4.966,459728640,4.924,5.0005,4.86325,4.966
"2005-02-09 00:00:00",4.7895,692417000,5.019,5.04,4.7365,4.7895
