"DateTime","priceClose","KO Volume","OHLC (open)","OHLC (high)","OHLC (low)","OHLC (close)"
"2005-01-03 00:00:00",20.77,14082200,20.95,20.985,20.705,20.77
"2005-01-04 00:00:00",20.48,16860200,20.77,20.825,20.45,20.48
"2005-01-05 00:00:00",20.385,13271200,20.5,20.6,20.37,20.385
"2005-01-06 00:00:00",20.555,10038600,20.345,20.575,20.275,20.555
"2005-01-07 00:00:00",20.58,9732800,20.535,20.73,20.425,20.58
"2005-01-10 00:00:00",20.695,10577000,20.535,20.765,20.505,20.695
"2005-01-11 00:00:00",20.58,10592200,20.63,20.66,20.505,20.58
"2005-01-12 00:00:00",20.58,10857200,20.585,20.625,20.425,20.58
"2005-01-13 00:00:00",20.37,9431200,20.58,20.595,20.305,20.37
"2005-01-14 00:00:00",20.485,8296600,20.375,20.555,20.375,20.485
"2005-01-18 00:00:00",20.625,10045800,20.36,20.63,20.3,20.625
"2005-01-19 00:00:00",20.55,8542600,20.545,20.72,20.54,20.55
"2005-01-20 00:00:00",20.665,13351600,20.51,20.77,20.335,20.665
"2005-01-21 00:00:00",20.455,13432000,20.62,20.7,20.405,20.455
"2005-01-24 00:00:00",20.48,13641800,20.475,20.59,20.375,20.48
"2005-01-25 00:00:00",20.62,9709400,20.575,20.715,20.54,20.62
"2005-01-26 00:00:00",20.84,15058400,20.575,20.935,20.575,20.84
"2005-01-27 00:00:00",20.88,11225800,20.84,21,20.765,20.88
"2005-01-28 00:00:00",20.745,13453000,20.765,20.815,20.605,20.745
"2005-01-31 00:00:00",20.745,14094600,20.885,20.915,20.695,20.745
"2005-02-01 00:00:00",20.71,10813000,20.75,20.75,20.565,20.71
"2005-02-02 00:00:00",20.96,13188200,20.725,20.965,20.68,20.96
"2005-02-03 00:00:00",20.87,9620200,20.95,20.96,20.8,20.87
"2005-02-04 00:00:00",21.235,15542200,20.805,21.255,20.78,21.235
"2005-02-07 00:00:00",21.245,8667000,21.295,21.295,21.13,21.245
"2005-02-08 00:00:00",21.325,9454600,21.33,21.44,21.22,21.325
"2005-02-09 00:00:00",21.38,14274400,21.405,21.555,21.2,21.38
"2005-02-10 00:00:00",21.25,8685600,21.385,21.55,21.13,21.25
"2005-02-11 00:00:00",21.38,10168000,21.165,21.54,21.165,21.38
"2005-02-14 00:00:00",21.43,6977200,21.48,21.485,21.325,21.43
"2005-02-15 00:00:00",21.325,11664200,21.47,21.47,21.105,21.325
"2005-02-16 00:00:00",21.65,34083400,21.95,22.075,21.575,21.65
"2005-02-17 00:00:00",21.5,14417800,21.67,21.675,21.405,21.5
"2005-02-18 00:00:00",21.48,11256600,21.535,21.535,21.38,21.48
"2005-02-22 00:00:00",21.395,17078400,21.4,21.575,21.23,21.395
"2005-02-23 00:00:00",21.29,11546800,21.395,21.46,21.2,21.29
"2005-02-24 00:00:00",21.33,9311000,21.315,21.41,21.205,21.33
"2005-02-25 00:00:00",21.51,10712400,21.35,21.525,21.185,21.51
"2005-02-28 00:00:00",21.4,13223200,21.43,21.57,21.345,21.4
"2005-03-01 00:00:00",21.635,9999400,21.4,21.7,21.38,21.635
"2005-03-02 00:00:00",21.52,9868800,21.51,21.7,21.43,21.52
"2005-03-03 00:00:00",21.59,9450000,21.595,21.715,21.525,21.59
"2005-03-04 00:00:00",21.82,13141400,21.72,21.885,21.625,21.82
"2005-03-07 00:00:00",21.86,9485000,21.77,21.925,21.755,21.86
"2005-03-08 00:00:00",21.71,11534600,21.785,21.9,21.675,21.71
"2005-03-09 00:00:00",21.605,12479200,21.61,21.715,21.4,21.605
"2005-03-10 00:00:00",21.535,9968600,21.625,21.695,21.485,21.535
"2005-03-11 00:00:00",21.24,11541600,21.45,21.455,21.15,21.24
"2005-03-14 00:00:00",21.17,11318200,21.3,21.375,21.05,21.17
"2005-03-15 00:00:00",21.12,10415800,21.25,21.35,21.09,21.12
"2005-03-16 00:00:00",20.97,14522200,21.125,21.25,20.92,20.97
"2005-03-17 00:00:00",21,8479200,20.94,21.075,20.875,21
"2005-03-18 00:00:00",20.73,31237200,21.005,21.055,20.7,20.73
"2005-03-21 00:00:00",20.8,13221800,20.81,20.845,20.625,20.8
"2005-03-22 00:00:00",20.7,13195800,20.82,20.935,20.64,20.7
